UNITID,XLINE_10,LINE_10,XLINE_45,LINE_45,XLINE_50,LINE_50,XLINE_55,LINE_55,XLINE_11,LINE_11,XLINE_30,LINE_30,XLINE_51,LINE_51,XLINE_52,LINE_52,XPGLIN10,PGLIN10,XPGLIN45,PGLIN45,XPGLIN50,PGLIN50,XPGLIN11,PGLIN11,XSSLIN10,SSLIN10,XSSLIN45,SSLIN45,XSSLIN50,SSLIN50,XSSLIN11,SSLIN11,XNRLIN10,NRLIN10,XNRLIN45,NRLIN45,XNRLIN50,NRLIN50,XNRLIN11,NRLIN11 
447607,"R",294,"R",1,"R",293,"R",149,"R",199,"R",0,"R",1,"R",93,"R",268,"R",0,"R",268,"R",181,"R",7,"R",0,"R",7,"R",5,"R",19,"R",1,"R",18,"R",13
447616,"R",314,"R",1,"R",313,"R",180,"R",215,"R",0,"R",0,"R",98,"R",290,"R",1,"R",289,"R",195,"R",16,"R",0,"R",16,"R",14,"R",8,"R",0,"R",8,"R",6
447704,"R",29,"R",0,"R",29,"R",4,"R",20,"R",0,"R",0,"R",9,"R",26,"Z",0,"R",26,"R",18,"R",3,"Z",0,"R",3,"R",2,"R",0,"Z",0,"R",0,"R",0
447722,"R",42,"R",0,"R",42,"R",37,"R",38,"R",0,"R",4,"R",0,"R",42,"Z",0,"R",42,"R",38,"R",0,"Z",0,"R",0,"R",0,"R",0,"Z",0,"R",0,"R",0
447731,"R",92,"R",0,"R",92,"R",12,"R",83,"R",0,"R",0,"R",9,"R",27,"Z",0,"R",27,"R",25,"R",2,"Z",0,"R",2,"R",2,"R",63,"Z",0,"R",63,"R",56
447795,"R",57,"R",0,"R",57,"R",48,"R",53,"R",0,"R",0,"R",4,"R",34,"Z",0,"R",34,"R",34,"R",8,"Z",0,"R",8,"R",8,"R",15,"Z",0,"R",15,"R",11
447810,"R",221,"R",0,"R",221,"R",32,"R",52,"R",4,"R",1,"R",164,"R",151,"Z",0,"R",151,"R",24,"R",7,"Z",0,"R",7,"R",6,"R",63,"Z",0,"R",63,"R",22
447865,"R",29,"R",1,"R",28,"R",26,"R",26,"R",0,"R",0,"R",2,"R",29,"R",1,"R",28,"R",26,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0
447874,"R",193,"R",0,"R",193,"R",131,"R",157,"R",0,"R",0,"R",36,"R",45,"Z",0,"R",45,"R",36,"R",29,"Z",0,"R",29,"R",26,"R",119,"Z",0,"R",119,"R",95
447883,"R",132,"R",13,"R",119,"R",9,"R",77,"R",0,"R",0,"R",42,"R",91,"R",6,"R",85,"R",59,"R",12,"R",0,"R",12,"R",7,"R",29,"R",7,"R",22,"R",11
447892,"R",105,"R",0,"R",105,"R",12,"R",57,"R",0,"R",7,"R",41,"R",76,"Z",0,"R",76,"R",38,"R",8,"Z",0,"R",8,"R",6,"R",21,"Z",0,"R",21,"R",13
447908,"R",8,"Z",0,"R",8,"R",5,"R",6,"Z",0,"Z",0,"R",2,"R",7,"Z",0,"R",7,"R",5,"R",0,"Z",0,"R",0,"R",0,"R",1,"Z",0,"R",1,"R",1
